hk_geb;uk_geb;typ_18599;nr_18599;typ_sia2024;nr_sia2024;gain_per_person_18599;gain_per_person_sia2024;appliance_gains_tief_18599;appliance_gains_mittel_18599;appliance_gains_hoch_18599;appliance_gains_ziel_sia2024;appliance_gains_standard_sia2024;appliance_gains_bestand_sia2024;usage_start_18599;usage_end_18599;usage_start_sia2024;usage_end_sia2024
Produktions-, Werkstatt-, Lager- oder Betriebsgebäude;Gebäude für industrielle Produktion und Verarbeitung (z.B. Chemie, Metall, Textilien, Lebensmittel, Holz);Gewerbliche und industrielle Hallen (mittelschwere Arbeit, überw. stehende Tätigkeit);22.2;Produktion (grobe Arbeit);9.1;100;90;25;35;45;5;10;15;7;16;0;24
Produktions-, Werkstatt-, Lager- oder Betriebsgebäude;Werkstattgebäude allgemein (z.B. von Handwerksbetrieben wie Klempner, Schlosser, Schreiner);Gewerbliche und industrielle Hallen (mittelschwere Arbeit, überw. stehende Tätigkeit);22.2;Produktion (grobe Arbeit);9.1;100;90;25;35;45;5;10;15;7;16;0;24
Produktions-, Werkstatt-, Lager- oder Betriebsgebäude;Werkstattgebäude zur Wartung, Instandsetzung, Reparatur (von z.B. Kfz);Gewerbliche und industrielle Hallen (mittelschwere Arbeit, überw. stehende Tätigkeit);22.2;Produktion (grobe Arbeit);9.1;100;90;25;35;45;5;10;15;7;16;0;24
Produktions-, Werkstatt-, Lager- oder Betriebsgebäude;Logistikimmobilie mit Toren bzw. Rampen;Lagerhallen, Logistikhallen;41;Lagerhalle;10.1;70;90;0;0;0;0;0;0;0;24;0;24
Produktions-, Werkstatt-, Lager- oder Betriebsgebäude;Sonstiges Gebäude für Lagerung;Lagerhallen, Logistikhallen;41;Lagerhalle;10.1;70;90;0;0;0;0;0;0;0;24;0;24
Produktions-, Werkstatt-, Lager- oder Betriebsgebäude;Feuerwehr, Rettungswache;Großraumbüro (ab 7 Arbeitsplätze);3;Großraumbüro;3.2;70;70;4.2;10;18.8;4;10;19;7;18;7;18
Produktions-, Werkstatt-, Lager- oder Betriebsgebäude;Straßenmeisterei, Bauhof u.ä.;Lagerhallen, Logistikhallen;41;Lagerhalle;10.1;70;90;0;0;0;0;0;0;0;24;0;24
Produktions-, Werkstatt-, Lager- oder Betriebsgebäude;Fuhrpark;Parkhaus (Büro- und Privatnutzung);32;Parkhaus;12.9;70;70;0;0;0;0.5;1;2;7;18;7;18
Produktions-, Werkstatt-, Lager- oder Betriebsgebäude;zentrales Wirtschaftsgebäude (z.B. Zentralküche oder -wäscherei in Krankenhaus);Küche (Vorbereitung, Lager);15;Küche, Teeküche;12.5;80;70;20;30;40;30;40;50;10;23;7;18
Produktions-, Werkstatt-, Lager- oder Betriebsgebäude;Rechenzentrum;Rechenzentrum;21;Serverraum;12.12;70;70;50;150;500;50;100;150;0;24;7;18
Handelsgebäude;Handelsgebäude des Lebensmitteleinzel- und -großhandels;Einzelhandel/Kaufhaus (Lebensmittelabteilung mit Kühlprodukten);7;Lebensmittelverkauf;5.1;70;70;-12;-10;-8;-8;-10;-12;8;20;7;20
Handelsgebäude;Handelsgebäude des Non-Food-Einzel- und -Großhandels;Einzelhandel/Kaufhaus;6;Fachgeschäft;5.2;70;70;1;2;3;1;2;3;8;20;7;20
Handelsgebäude;Einkaufszentrum, Shopping-Mall;Schalterhalle;5;Schalterhalle, Empfang;3.4;70;70;1.5;4;9.5;1.5;4;9.5;7;18;7;18
Handelsgebäude;Markthalle;Einzelhandel/Kaufhaus (Lebensmittelabteilung mit Kühlprodukten);7;Lebensmittelverkauf;5.1;70;70;-12;-10;-8;-8;-10;-12;8;20;7;20
Handelsgebäude;Messehalle;Messe/Kongress;26;Ausstellungshalle;7.3;70;70;1;2;3;3;7;15;13;18;7;23
Handelsgebäude;von Dienstleistern (z.B. Frisör, Kosmetik) genutztes Ladengebäude;Einzelhandel/Kaufhaus;6;Fachgeschäft;5.2;70;70;1;2;3;1;2;3;8;20;7;20
Technikgebäude (Ver- und Entsorgung);Kraftwerk (Gesamtanlage für Energieversorgung);Großraumbüro (ab 7 Arbeitsplätze);3;Großraumbüro;3.2;70;70;4.2;10;18.8;4;10;19;7;18;7;18
Technikgebäude (Ver- und Entsorgung);Gebäude für Lenkung, Steuerung, Überwachung und Nachrichtenübermittlung (z.B. Stellwerk, Leuchtturm);Großraumbüro (ab 7 Arbeitsplätze);3;Großraumbüro;3.2;70;70;4.2;10;18.8;4;10;19;7;18;7;18
Technikgebäude (Ver- und Entsorgung);Gebäude für Energieversorgung (z.B. Fernheizwerk, Tankstelle);Großraumbüro (ab 7 Arbeitsplätze);3;Großraumbüro;3.2;70;70;4.2;10;18.8;4;10;19;7;18;7;18
Technikgebäude (Ver- und Entsorgung);Gebäude für Wasserversorgung;Großraumbüro (ab 7 Arbeitsplätze);3;Großraumbüro;3.2;70;70;4.2;10;18.8;4;10;19;7;18;7;18
Technikgebäude (Ver- und Entsorgung);Gebäude für Abwasserbehandlung;Großraumbüro (ab 7 Arbeitsplätze);3;Großraumbüro;3.2;70;70;4.2;10;18.8;4;10;19;7;18;7;18
Technikgebäude (Ver- und Entsorgung);Gebäude für Abfallbehandlung;Großraumbüro (ab 7 Arbeitsplätze);3;Großraumbüro;3.2;70;70;4.2;10;18.8;4;10;19;7;18;7;18
Verkehrsgebäude;Park-/Garagengebäude, Fahrradparkhaus;Parkhaus (öffentliche Nutzung);33;Parkhaus;12.9;70;70;0;0;0;0.5;1;2;9;24;7;18
Verkehrsgebäude;Halle für sonstige Verkehrsmittel (z.B. für Flugzeuge, Schienenfahrzeuge);Verkehrsfläche (Flur);19;Verkehrsfläche;12.1;70;70;0;0;0;0;0;0;7;18;6;19
Verkehrsgebäude;Gebäude zur Pflege von Fahrzeugen (z.B. Waschstraße);Lagerhallen, Logistikhallen;41;Lagerhalle;10.1;70;90;0;0;0;0;0;0;0;24;0;24
Verkehrsgebäude;Empfangsgebäude (Bahnhof, Busbahnhof, Flughafen, Schiffsterminal);Schalterhalle;5;Schalterhalle, Empfang;3.4;70;70;1.5;4;9.5;1.5;4;9.5;7;18;7;18
